Fight_Id,Win/No Contest/Draw,Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id
1c43b38c1f4bdbe2,win,b4ad3a06ee4d660c,f14cf73e51b29254,Alistair Overeem,Sergei Pavlovich,0,0,22,13,1,0,0,0,Heavyweight,KO/TKO Punches,1,4:21,de25520d54eab12d
d755a29a49c9ee09,win,efb96bf3e9ada36f,37098a6e6c27fb66,Song Yadong,Vince Morales,0,0,79,74,2,0,0,0,Bantamweight,U-DEC,3,5:00,de25520d54eab12d
21992c366d3b4602,win,e64b96c07d7ce999,3bb2dc8e87b10a46,Li Jingliang,David Zawada,1,1,89,73,1,0,0,0,Welterweight,KO/TKO Kick,3,4:07,de25520d54eab12d
9e1853861f58191f,win,cdb96af67d096b1e,32490e80ddab1e5a,Alex Morono,Song Kenan,0,0,98,61,0,0,0,0,Welterweight,U-DEC,3,5:00,de25520d54eab12d
d1a93a55c8063ff3,win,fdbefee0827e1567,f923e012414c883e,Wu Yanan,Lauren Mueller,0,0,18,17,0,0,1,0,Women's Flyweight,SUB Armbar,1,4:00,de25520d54eab12d
438fbdd4cf27e324,win,d1528ac5675558b1,f1175ea3aafbf351,Rashad Coulter,Hu Yaozong,1,0,98,92,0,0,0,0,Light Heavyweight,U-DEC,3,5:00,de25520d54eab12d
a932059e61f4c25e,win,1ebe20ebbfa15e29,8f382b3baa954d2a,Zhang Weili,Jessica Aguilar,0,0,45,9,1,0,2,0,Women's Strawweight,SUB Armbar,1,3:41,de25520d54eab12d
43af7c5772e8198f,win,31bbd39c0a075d4e,ea3dcc417c322064,Pingyuan Liu,Martin Day,1,1,55,100,0,1,2,2,Bantamweight,S-DEC,3,5:00,de25520d54eab12d
e8093d77f566fe51,win,c41d426cc7326d1b,a851c35f58199231,Yan Xiaonan,Syuri Kondo,0,0,150,86,0,0,0,0,Women's Strawweight,U-DEC,3,5:00,de25520d54eab12d
02731f017c838ad4,win,3a46b268013afede,e9ac7bfb65c25497,Kevin Holland,John Phillips,0,0,123,51,5,0,2,0,Middleweight,SUB Rear Naked Choke,3,4:05,de25520d54eab12d
8c109a0c53ed9618,win,d2bc285ead803db0,3cf18e01cb6cbde3,Louis Smolka,Sumudaerji,0,0,32,18,2,0,1,2,Bantamweight,SUB Armbar,2,2:07,de25520d54eab12d
7e695ad026b2ec66,win,6d1bffff14897645,84b3e7d38f2d2ec5,Santiago Ponzinibbio,Neil Magny,2,0,79,72,0,0,0,0,Welterweight,KO/TKO Punch,4,2:36,aa3153a9941b4d44
f9ab603b763998f7,win,3974fa35c917af1d,92a9aa9c93192871,Ricardo Lamas,Darren Elkins,0,0,70,62,3,3,0,0,Featherweight,KO/TKO Elbows,3,4:09,aa3153a9941b4d44
51ce499611a5df68,win,c21f26bbde777573,749f572d1d3161fb,Johnny Walker,Khalil Rountree Jr.,1,0,10,4,0,0,0,0,Light Heavyweight,KO/TKO Elbow,1,1:57,aa3153a9941b4d44
3bde8910fabf0dd3,win,2e585c701f72fe55,dbc17725b887860a,Ian Heinisch,Cezar Ferreira,1,0,55,26,1,5,2,0,Middleweight,U-DEC,3,5:00,aa3153a9941b4d44
b9a3b520e68f8142,win,7c7332319c14094c,d05412b513b19621,Marlon Vera,Guido Cannetti,1,0,24,24,2,2,2,0,Bantamweight,SUB Rear Naked Choke,2,1:31,aa3153a9941b4d44
99bfad1679112591,win,98215d037be5bcb7,5c126c6aac3ef364,Cynthia Calvillo,Poliana Botelho,0,0,22,6,2,0,1,0,Women's Strawweight,SUB Rear Naked Choke,1,4:48,aa3153a9941b4d44
410aca28fda60f76,win,e51fcd9cd84c0b93,e17ac6410c8377f4,Michel Prazeres,Bartosz Fabinski,1,0,18,1,1,0,1,0,Welterweight,SUB Guillotine Choke,1,1:02,aa3153a9941b4d44
961f434fe238f40e,win,a0f0004aadf10b71,7c3c48cf54a2848e,Alexandre Pantoja,Yuta Sasaki,0,0,4,7,0,0,2,0,Flyweight,SUB Rear Naked Choke,1,2:18,aa3153a9941b4d44
85f85003fadf7a7b,win,bf0e700106d00e55,2c2caf2f2bab9df5,Austin Arnett,Humberto Bandenay,0,0,74,30,1,2,0,0,Featherweight,U-DEC,3,5:00,aa3153a9941b4d44
629c0eb319e01374,win,a12a8314adc1c1c9,c487223b0289bda9,Laureano Staropoli,Hector Aldana,0,0,97,69,0,0,0,0,Welterweight,U-DEC,3,5:00,aa3153a9941b4d44
9cd172df74575fd4,win,25af5e832f17b474,065eb44700e641a4,Jesus Pinedo,Devin Powell,0,0,60,58,5,0,0,0,Lightweight,U-DEC,3,5:00,aa3153a9941b4d44
c7bc8750e9503805,win,776a58a67665a171,bbc9ab95fa766493,Nad Narimani,Anderson Dos Santos,0,0,84,46,1,0,0,1,Featherweight,U-DEC,3,5:00,aa3153a9941b4d44
0ccd16201ac41ef8,win,cbf5e6f231b55443,c451d67c09c55418,Yair Rodriguez,Chan Sung Jung,1,0,119,126,0,0,0,0,Featherweight,KO/TKO Elbow,5,4:59,42c96a9c4802e2e1
46cfd4aaa02ce202,win,1d00756835ca67c9,f2b6fdb20675b11c,Donald Cerrone,Mike Perry,0,0,9,11,0,1,1,0,Welterweight,SUB Armbar,1,4:46,42c96a9c4802e2e1
0a667143584a2d96,win,1d239d571e342453,fc169c387b4b465d,Germaine de Randamie,Raquel Pennington,0,0,42,24,0,0,0,0,Women's Bantamweight,U-DEC,3,5:00,42c96a9c4802e2e1
14cf0828d6e373ab,win,08af939f41b5a57b,d945aae53e3e54e6,Beneil Dariush,Thiago Moises,0,0,44,8,4,0,2,4,Lightweight,U-DEC,3,5:00,42c96a9c4802e2e1
17f69a241aa952fd,win,6a740daf1b279661,2244d9a2b64b8c3b,Maycee Barber,Hannah Cifers,0,0,68,41,1,0,0,0,Women's Strawweight,KO/TKO Punches,2,2:01,42c96a9c4802e2e1
2c84f2cb1bb23ab8,win,5bf31a46becc1204,2844b047183a1adb,Michael Trizano,Luis Pena,0,0,51,23,1,1,1,0,Lightweight,S-DEC,3,5:00,42c96a9c4802e2e1
bd5efa4b53dc1642,win,b4c6c904a9ffc5e8,d4a31850a7457f1b,Ashley Yoder,Amanda Cooper,0,0,38,51,1,2,3,2,Women's Strawweight,S-DEC,3,5:00,42c96a9c4802e2e1
04d37c1c206c0efd,ncnc,4bd6b4800070b069,d76ad9a08c4408ff,Chas Skelly,Bobby Moffett,0,0,30,20,1,1,0,1,Featherweight,Overturned D'Arce Choke,2,2:43,42c96a9c4802e2e1
933cf2674503c63d,win,0052de90691d4a93,3956bdc8ab2e54b3,Davi Ramos,John Gunther,0,0,4,1,1,0,1,0,Lightweight,SUB Rear Naked Choke,1,1:57,42c96a9c4802e2e1
79fb77a0b0294aec,win,207773daeb4afa7b,902ec2cc48c8ae8a,Devonte Smith,Julian Erosa,1,0,13,4,0,0,0,0,Lightweight,KO/TKO Punches,1,0:46,42c96a9c4802e2e1
3210723fbb018fa7,win,a0c64f272b65d441,2fe9032955c2e013,Eric Shelton,Joseph Morales,0,0,16,24,7,1,0,4,Flyweight,S-DEC,3,5:00,42c96a9c4802e2e1
38abefbf24624a35,win,f57dd0bfa8c17813,b12fc8a41e82d3a2,Mark De La Rosa,Joby Sanchez,0,0,66,55,0,0,0,0,Bantamweight,S-DEC,3,5:00,42c96a9c4802e2e1
e9700d51ec2b940b,win,d967f0128c323de6,d3df1add9d9a7efb,Daniel Cormier,Derrick Lewis,0,0,19,4,4,0,1,0,Heavyweight,SUB Rear Naked Choke,2,2:14,20821819c401ced8
c037cdc1de53de8e,win,7a703c565ccaa18f,3a8176e15b9887c1,Jacare Souza,Chris Weidman,1,0,74,68,0,1,0,0,Middleweight,KO/TKO Punches,3,2:46,20821819c401ced8
