Fight_Id,Win/No Contest/Draw,Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id_x,Result_1,Result_2,Time Format,Referee,Method Details,Kd_1,Kd_2,Sig. Str._1,Sig. Str._2,Sig. Str. %_1,Sig. Str. %_2,Total Str._1,Total Str._2,Td_1,Td_2,Td %_1,Td %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_1,Head_2,Body_1,Body_2,Leg_1,Leg_2,Distance_1,Distance_2,Clinch_1,Clinch_2,Ground_1,Ground_2,Event_Id_y
11141cf97c6156b6,win,8f2939f5fd9cca1e,c0c36a5b3d5bbdd5,TJ Waldburger,Mike Stumpf,0,0,4,0,3,0,2,1,Welterweight,SUB Triangle Choke,1,3:52,1ffc38f67785797b,W,L,3 Rnd (5-5-5),Dan Miragliotta,Triangle Choke On Ground,0,0,4 of 7,0 of 4,57%,0%,8 of 11,6 of 10,3 of 4,0 of 0,75%,---,2,1,0,0,3:14,0:24,2 of 4,0 of 3,1 of 1,0 of 1,1 of 2,0 of 0,1 of 4,0 of 3,1 of 1,0 of 0,2 of 2,0 of 1,1ffc38f67785797b
0f5f1f5828ebd9c5,win,960d6cae8879ba2b,e26882820f9e8df5,Robert Peralta,Mike Lullo,0,0,80,51,1,2,0,0,Featherweight,U-DEC,3,5:00,1ffc38f67785797b,W,L,3 Rnd (5-5-5),Myron Gaudet,Chris Lee27 - 30.Robbie Scheuermann27 - 30.Richard Bertrand28 - 29.,0,0,80 of 137,51 of 129,58%,39%,109 of 169,57 of 135,1 of 1,2 of 13,100%,15%,0,0,0,0,0:38,4:48,20 of 73,7 of 70,24 of 25,9 of 15,36 of 39,35 of 44,61 of 117,34 of 108,19 of 20,17 of 21,0 of 0,0 of 0,1ffc38f67785797b
1f70cf05ec46f065,win,e56daf7725a0b5ab,ee624ee2a18f2a43,Justin Edwards,Jorge Lopez,0,0,41,42,2,3,2,0,Welterweight,U-DEC,3,5:00,1ffc38f67785797b,W,L,3 Rnd (5-5-5),Kevin Mulhall,Gabe Barahona28 - 29.Jeff Blatnick28 - 29.Sal D'amato28 - 29.,0,0,41 of 73,42 of 63,56%,66%,72 of 105,64 of 87,2 of 13,3 of 3,15%,100%,2,0,0,1,4:23,6:43,20 of 50,34 of 55,17 of 17,5 of 5,4 of 6,3 of 3,10 of 34,8 of 25,20 of 27,13 of 16,11 of 12,21 of 22,1ffc38f67785797b
89cc8f4a69e9ea0e,win,1f454354805b6f75,acff437707625fc7,Anderson Silva,Yushin Okami,2,0,43,16,0,0,0,0,Middleweight,KO/TKO Punches,2,2:04,18968f97ad34f15c,W,L,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground,2,0,43 of 61,16 of 43,70%,37%,52 of 71,27 of 54,0 of 0,0 of 1,---,0%,0,0,0,0,0:33,1:51,29 of 44,11 of 38,11 of 12,5 of 5,3 of 5,0 of 0,21 of 34,10 of 35,8 of 9,6 of 8,14 of 18,0 of 0,18968f97ad34f15c
e7da014d4dfc5bf3,win,140745cbbcb023ac,fcffee71cff5530e,Mauricio Rua,Forrest Griffin,1,0,16,3,0,0,0,0,Light Heavyweight,KO/TKO Punches,1,1:53,18968f97ad34f15c,W,L,3 Rnd (5-5-5),Marc Goddard,Punches to Head From Half Guard,1,0,16 of 29,3 of 19,55%,15%,16 of 30,3 of 19,0 of 0,0 of 0,---,---,0,0,0,0,0:07,0:00,16 of 29,1 of 12,0 of 0,0 of 3,0 of 0,2 of 4,8 of 17,3 of 18,0 of 1,0 of 1,8 of 11,0 of 0,18968f97ad34f15c
fa3294fe655440dd,win,64a50dad704d1d49,4f732e58ed907eff,Ross Pearson,Edson Barboza,0,1,60,55,0,0,0,0,Lightweight,S-DEC,3,5:00,18968f97ad34f15c,L,W,3 Rnd (5-5-5),Mario Yamasaki,Chris Lee28 - 29.Paul Sutherland29 - 28.Andy Roberts28 - 29.,0,1,60 of 186,55 of 190,32%,28%,62 of 188,55 of 190,0 of 6,0 of 1,0%,0%,0,0,0,0,0:39,0:01,47 of 166,29 of 150,7 of 13,22 of 28,6 of 7,4 of 12,59 of 184,49 of 181,1 of 2,6 of 8,0 of 0,0 of 1,18968f97ad34f15c
c8fbe7ade97e2055,win,ee9d73f4fee9cbdd,89a407032911e27e,Antonio Rodrigo Nogueira,Brendan Schaub,1,0,15,11,0,0,0,0,Heavyweight,KO/TKO Punches,1,3:09,18968f97ad34f15c,W,L,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,1,0,15 of 35,11 of 45,42%,24%,17 of 37,11 of 46,0 of 2,0 of 0,0%,---,0,0,0,0,0:17,0:20,12 of 31,7 of 39,3 of 4,3 of 3,0 of 0,1 of 3,11 of 30,8 of 40,3 of 4,3 of 5,1 of 1,0 of 0,18968f97ad34f15c
8782dca7c99717a6,win,1d4bbaabd8b60173,24b033b3daf1c9df,Luiz Cane,Stanislav Nedkov,0,1,15,29,0,0,0,0,Light Heavyweight,KO/TKO Punches,1,4:13,18968f97ad34f15c,L,W,3 Rnd (5-5-5),Mario Yamasaki,Punches to Head At Distance,0,1,15 of 46,29 of 51,32%,56%,16 of 47,30 of 52,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:06,7 of 38,29 of 51,2 of 2,0 of 0,6 of 6,0 of 0,15 of 44,18 of 35,0 of 2,4 of 6,0 of 0,7 of 10,18968f97ad34f15c
6265ffd51a18ff21,win,8a59d346dc976a10,f34312c2ccfa0e00,Thiago Tavares,Spencer Fisher,0,0,10,3,3,0,0,0,Lightweight,KO/TKO Punches,2,2:51,18968f97ad34f15c,W,L,3 Rnd (5-5-5),Marc Goddard,Punches to Head From Mount,0,0,10 of 26,3 of 9,38%,33%,109 of 140,34 of 42,3 of 7,0 of 0,42%,---,0,0,0,0,6:41,0:01,8 of 24,1 of 7,2 of 2,1 of 1,0 of 0,1 of 1,4 of 10,2 of 8,0 of 0,1 of 1,6 of 16,0 of 0,18968f97ad34f15c
15b62b191eb6dacf,win,8ddf9c51c5fdea75,d0c29452d3272603,Rousimar Palhares,Dan Miller,1,1,67,42,2,0,0,0,Middleweight,U-DEC,3,5:00,18968f97ad34f15c,W,L,3 Rnd (5-5-5),Herb Dean,Andy Roberts27 - 29.Chris Lee27 - 30.Doug Crosby25 - 30.,1,1,67 of 111,42 of 97,60%,43%,147 of 206,48 of 104,2 of 2,0 of 0,100%,---,0,0,1,1,5:21,0:38,45 of 88,37 of 92,7 of 8,3 of 3,15 of 15,2 of 2,46 of 78,42 of 97,4 of 4,0 of 0,17 of 29,0 of 0,18968f97ad34f15c
8938fad6ec08499d,win,30a09e43f15f1d75,8f3df4c579cfbb69,Paulo Thiago,David Mitchell,0,0,19,23,6,0,1,0,Welterweight,U-DEC,3,5:00,18968f97ad34f15c,W,L,3 Rnd (5-5-5),Mario Yamasaki,Sal D'amato27 - 30.Andy Roberts27 - 30.Paul Sutherland27 - 30.,0,0,19 of 69,23 of 120,27%,19%,30 of 84,62 of 161,6 of 6,0 of 0,100%,---,1,0,0,0,4:55,0:37,13 of 59,14 of 101,3 of 6,1 of 6,3 of 4,8 of 13,17 of 65,22 of 119,0 of 0,0 of 0,2 of 4,1 of 1,18968f97ad34f15c
7b1d63d0e3e12804,win,2f13e4020cea5b38,528c24b99fbaab79,Raphael Assuncao,Johnny Eduardo,0,0,53,28,3,0,0,1,Bantamweight,U-DEC,3,5:00,18968f97ad34f15c,W,L,3 Rnd (5-5-5),Marc Goddard,Doug Crosby27 - 30.Chris Lee27 - 30.Paul Sutherland27 - 30.,0,0,53 of 101,28 of 85,52%,32%,93 of 143,30 of 88,3 of 8,0 of 0,37%,---,0,1,0,0,4:56,0:04,32 of 77,15 of 61,7 of 9,7 of 11,14 of 15,6 of 13,31 of 78,26 of 83,11 of 11,2 of 2,11 of 12,0 of 0,18968f97ad34f15c
9d379b41d86d7c7f,win,5866fc86183a9fb8,7bc475b0fc2020ab,Erick Silva,Luis Ramos,1,0,4,4,0,0,0,0,Welterweight,KO/TKO Punch,1,0:40,18968f97ad34f15c,W,L,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,1,0,4 of 9,4 of 7,44%,57%,6 of 11,4 of 7,0 of 0,0 of 0,---,---,0,0,0,0,0:05,0:00,4 of 9,2 of 5,0 of 0,0 of 0,0 of 0,2 of 2,1 of 4,4 of 7,0 of 0,0 of 0,3 of 5,0 of 0,18968f97ad34f15c
7036a87673c98a13,win,2f95a3c6d58b2aad,71002dbc1743b9a7,Iuri Alcantara,Felipe Arantes,0,0,22,29,6,0,0,0,Featherweight,U-DEC,3,5:00,18968f97ad34f15c,W,L,3 Rnd (5-5-5),Mario Yamasaki,Paul Sutherland27 - 30.Sal D'amato27 - 30.Chris Lee28 - 29.,0,0,22 of 52,29 of 47,42%,61%,75 of 123,54 of 77,6 of 6,0 of 0,100%,---,0,0,0,1,7:15,2:14,12 of 38,14 of 27,9 of 12,7 of 10,1 of 2,8 of 10,13 of 40,20 of 35,3 of 3,3 of 4,6 of 9,6 of 8,18968f97ad34f15c
1fb62d8192128dc1,win,b4eeac608fc82f88,eea0274e153256a0,Yves Jabouin,Ian Loveland,0,0,37,33,2,3,0,1,Bantamweight,S-DEC,3,5:00,18968f97ad34f15c,W,L,3 Rnd (5-5-5),Marc Goddard,Andy Roberts30 - 27.Doug Crosby28 - 29.Chris Lee28 - 29.,0,0,37 of 106,33 of 102,34%,32%,38 of 107,45 of 118,2 of 6,3 of 7,33%,42%,0,1,1,1,1:00,2:31,11 of 64,28 of 96,14 of 21,5 of 6,12 of 21,0 of 0,36 of 102,21 of 78,0 of 3,6 of 13,1 of 1,6 of 11,18968f97ad34f15c
aa4aa75f0065a687,win,91acd6910b802a9e,473ce3aa581251a2,Dan Hardy,Chris Lytle,0,0,61,127,1,0,0,1,Welterweight,SUB Guillotine Choke,3,4:16,4c8d6fde2dde07c4,L,W,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Mount,0,0,61 of 238,127 of 271,25%,46%,63 of 240,134 of 278,1 of 2,0 of 0,50%,---,0,1,0,1,0:07,0:20,53 of 228,81 of 209,5 of 7,45 of 61,3 of 3,1 of 1,57 of 227,119 of 255,4 of 11,8 of 16,0 of 0,0 of 0,4c8d6fde2dde07c4
5169aaf0ce80d1f8,win,2676b28836a5a836,d1941565abf50b16,Jim Miller,Benson Henderson,0,0,14,65,0,7,6,2,Lightweight,U-DEC,3,5:00,4c8d6fde2dde07c4,L,W,3 Rnd (5-5-5),Josh Rosenthal,Otto Torriero27 - 30.Rick Winter28 - 29.Chris Lee26 - 30.,0,0,14 of 44,65 of 132,31%,49%,24 of 55,119 of 195,0 of 0,7 of 7,---,100%,6,2,0,0,0:03,10:23,10 of 36,40 of 100,3 of 5,19 of 25,1 of 3,6 of 7,10 of 37,20 of 57,3 of 6,7 of 12,1 of 1,38 of 63,4c8d6fde2dde07c4
